Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,666.82,-,2.4,-4.17,2.3,1.408,591669.0,36.044,-100.0,2.48,2.544,3.1305,2.3946,2.4159,2.4882,-0.0724,-0.0597,2.6913,2.2687,41.85,-669844.8881,2.3711,2.3885,2.4305,1.1732,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,394.0,-,19.7,-1.01,19.7,6.706,340048.0,49.6683,-76.4706,19.865,19.188,20.3155,19.8133,19.8177,19.7328,0.0849,0.1346,20.6631,19.0669,553.67,5758.6677,19.7511,19.8103,19.8614,1.1142,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,31.76,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1571.36,6.83,16.9,0.6,16.9,4.036,237572.0,44.0122,-57.6923,17.225,17.324,18.721,16.8745,16.9417,17.2034,-0.2617,-0.2373,18.1937,16.2563,27.44,-82976.1746,16.7733,16.809,17.0176,1.303,5.92,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.83,16.36,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,744.14,-,11.5,0.0,11.5,0.25,21704.0,52.4983,-66.6667,11.465,11.05,12.4015,11.4413,11.4375,11.3757,0.0618,0.0824,12.2604,10.6696,16.44,-10659.7851,11.4067,11.4179,11.491,1.4808,0.87,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,597.73,-,2.5,-3.85,2.5,2.166,845977.0,39.1851,-75.0,2.585,2.644,3.537,2.5565,2.5641,2.6051,-0.041,-0.0436,2.7192,2.4508,59.21,-1002083.781,2.5467,2.5462,2.5648,1.1525,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3851.49,-,4.3,0.0,4.3,3.628,846406.0,49.7621,-66.6667,4.26,4.288,5.7625,4.2852,4.2828,4.3017,-0.0188,-0.0328,4.4693,4.0507,26.61,-960097.4673,4.2822,4.2833,4.2805,1.7544,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1744.42,84.29,17.3,-2.26,17.3,0.091,5261.0,43.0037,-60.0,17.54,18.158,17.508,17.352,17.3879,17.63,-0.2422,-0.2774,18.317,16.763,5.25,-10596.6985,17.28,17.2705,17.3905,1.3065,5.78,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,84.29,40.23,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18110.93,-,206.2,-0.43,206.2,32.964,159224.0,61.5196,-47.343,201.19,190.954,184.8775,206.3981,205.2314,200.0789,5.1525,5.0151,214.37,188.01,46.96,34420.248,208.0356,207.1077,204.2667,1.0555,1.21,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,132.76,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6298.43,17.22,133.3,-1.41,133.3,4.212,31446.0,55.7986,-51.3761,131.145,128.918,133.521,133.436,132.8945,131.4561,1.4384,0.926,136.8413,125.4487,12.91,-18397.7899,134.1978,133.5103,132.2219,1.2354,1.88,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,17.22,18.27,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15595.05,6.43,73.7,-0.14,73.7,12.765,173072.0,62.3457,-13.8889,71.91,71.958,74.74,72.8719,72.6428,72.1993,0.4435,0.1492,74.0493,69.7707,14.92,38111.0221,73.0267,72.8474,72.4357,1.1915,4.75,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.43,6.13,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2133.0,-,15.8,1.94,15.8,43.222,2763459.0,49.823,-45.4545,15.735,15.83,14.778,15.621,15.6559,15.8034,-0.1475,-0.1405,16.1619,15.3081,292.74,-400986.6014,15.5711,15.5962,15.6576,1.656,0.01,4.414,0.100,2.581,-,-,-,0.016,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1343.64,50.00,5.6,1.82,5.6,0.517,92542.0,44.7022,-75.0,5.665,5.89,7.814,5.5901,5.6124,5.7524,-0.14,-0.157,6.0504,5.2796,16.75,-207679.3413,5.5556,5.5615,5.6152,1.4635,0.45,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,50.00,34.38,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3711.01,22.86,57.4,-1.54,57.4,30.6,525831.0,50.552,-51.1628,57.105,57.538,68.5415,56.8592,56.8561,57.2418,-0.3857,-0.574,59.1275,55.0825,96.55,-41678.2303,56.6778,56.6756,56.8638,1.3773,1.74,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,22.86,22.08,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1220.04,18.47,13.1,-1.5,13.1,3.563,271508.0,45.8742,-62.5,13.16,13.296,14.427,13.1022,13.1153,13.2291,-0.1138,-0.1384,13.5236,12.7964,31.16,-78751.137,13.0689,13.0615,13.11,1.4326,0.38,1.282,0.005,0.926,-,0.265,0.147,0.399,0.045,0.057,-,-,0.72,16.43,18.47,22.17,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,587.6,23.64,5.2,-1.92,5.1,0.335,65886.0,47.5932,-60.0,5.145,5.192,7.249,5.0831,5.0968,5.174,-0.0773,-0.0836,5.5204,4.7696,15.19,-2046.7024,5.04,5.0551,5.1086,1.5531,0.98,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,23.64,22.94,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,A,3377.44,-,32.0,-0.62,32.0,11.847,369181.0,41.6207,-46.8085,32.74,34.138,33.259,32.0888,32.2297,32.9241,-0.6944,-0.7118,34.7352,30.7448,102.64,-142618.8851,31.8356,31.9167,32.3252,1.2939,3.13,1.925,1.997,1.806,-,-,-,0.267,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,1530.94,25.93,21.1,0.48,21.1,13.741,650271.0,54.0609,-31.25,20.7,20.802,24.6395,20.7487,20.7382,20.8378,-0.0996,-0.1695,21.3743,20.0257,128.35,-133407.2379,20.6844,20.6872,20.7186,1.3076,1.18,4.147,-,4.091,0.135,0.140,0.123,0.318,0.059,0.069,-,-,0.81,16.95,25.93,15.44,725561920.00,72556192
AGRANINS,Agrani Insurance PLC.,Insurance,A,860.85,15.58,23.9,-0.42,23.9,1.794,75080.0,66.6193,-25.0,22.525,21.686,24.223,23.2297,23.0522,22.6043,0.4479,0.2688,24.0535,20.9965,37.42,27914.9482,23.3511,23.1654,22.8786,1.408,2.51,-,-,-,-,-,-,-,-,-,-,-,1.54,19.81,15.58,120.00,360186980.00,36018698
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,Mutual Funds,A,340.0,68.00,3.4,0.0,3.4,0.446,131265.0,52.1412,-33.3333,3.36,3.366,4.961,3.3481,3.3482,3.3736,-0.0254,-0.037,3.4961,3.2239,27.38,-212460.9195,3.34,3.3321,3.3419,0.7863,-,-,-,-,-,-,-,-,-,-,-,-,0.05,10.27,68.00,38.64,1000000000.00,100000000
AIBLPBOND,AIBL Mudaraba Perpetual Bond,Corporate Bond,A,345.0,-,0.0,0.0,3450.0,0.0,0.0,24.2593,-100.0,3735.0,3961.41,4505.1725,3890.9447,3994.7201,4254.0665,-259.3464,-153.4928,4583.7528,2886.2472,0.04,-0.5319,3603.3333,3636.5385,3689.7619,0.0632,0.03,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,1000000.00,100000
AIL,Alif Industries Limited,Textile,Z,1372.69,12.25,28.2,-2.42,28.2,8.405,296339.0,23.9027,-89.1304,33.815,39.982,47.238,29.6609,30.5826,34.4224,-3.8399,-3.6229,44.6759,22.9541,226.74,-249227.3827,28.5756,29.05,31.0881,1.107,3.55,4.992,-,4.235,-,-,-,-,-,-,-,-,2.36,24.56,12.25,9.59,486768350.00,48676835
AL-HAJTEX,Al-Haj Textile Mills Limited,Textile,B,2880.97,-,129.2,0.16,129.2,46.08,353327.0,40.919,-74.8815,135.715,133.656,136.8025,131.3422,132.3167,134.3613,-2.0445,-0.8665,148.0326,123.3974,252.7,-79975.8401,129.4844,130.5321,132.829,1.0431,0.39,1.616,-,1.134,-,-,-,-,-,-,-,-,10.07,18.52,-,12.81,222985490.00,22298549
ALARABANK,Al-Arafah Islami Bank PLC.,Bank,A,14856.82,19.70,12.9,-0.77,12.9,6.421,492847.0,27.7057,-100.0,14.145,15.184,17.6025,13.3769,13.5797,14.2729,-0.6932,-0.5741,15.8513,12.4387,3.18,-500693.8252,13.1556,13.3141,13.7505,0.5648,-,-,-,-,-,0.425,0.038,-,0.001,0.030,0.001,-,0.66,20.85,19.70,28.68,11516917130.00,1151691713
ALIF,Alif Manufacturing Company Ltd,Textile,Z,987.72,11.82,3.9,-2.56,3.8,0.381,98933.0,39.7968,-83.3333,3.97,4.02,5.3315,3.856,3.8803,3.9737,-0.0934,-0.084,4.275,3.665,15.94,-170531.3216,3.8178,3.8372,3.9005,1.6267,2.63,15.328,-,13.723,-,-,-,-,-,-,-,-,0.33,15.15,11.82,18.28,2599270220.00,259927022
ALLTEX,Alltex Industries Limited,Textile,Z,749.97,-,13.4,-0.74,13.4,1.703,127009.0,48.7259,-66.6667,13.455,13.42,12.1075,13.4844,13.4792,13.4585,0.0207,0.019,13.9384,12.9716,37.59,-74612.003,13.48,13.4692,13.4781,1.4694,-,0.214,-,0.212,-,-,-,-,-,-,-,-,-0.18,24.77,-,337.50,559680000.00,55968000
AMANFEED,Aman Feed PLC,Miscellaneous,A,3051.61,104.55,23.3,1.3,23.3,6.841,294845.0,53.4929,-38.4615,22.945,23.33,24.4505,22.9596,22.9547,23.0516,-0.0969,-0.1534,23.4195,22.4705,37.28,-15101.1769,22.9378,22.9128,22.9362,1.4459,4.94,2.529,-,1.706,0.007,0.066,0.002,0.108,0.003,0.007,-,-,0.22,28.03,104.55,27.38,1309704000.00,130970400
AMBEEPHA,Ambee Pharmaceuticals PLC.,Pharmaceuticals & Chemicals,A,1694.16,321.04,705.1,-0.51,705.9,0.157,223.0,44.9795,-43.7956,705.72,732.302,785.9735,705.4267,705.9848,713.8561,-7.8713,-10.3499,717.1363,694.3037,5.42,-570.8224,704.7444,704.5564,704.9843,0.811,0.14,0.908,0.008,0.509,-,0.066,0.044,0.521,0.016,0.329,-,-,2.21,13.47,321.04,354.75,24000000.00,2400000
AMCL(PRAN),Agricultural Marketing Co Ltd.,Food & Allied,A,1689.6,42.55,212.0,-0.94,211.2,0.464,2203.0,59.175,-27.3381,207.3,205.142,215.448,210.6717,209.9583,208.0665,1.8917,1.2151,214.967,199.633,11.85,972.2381,211.6756,211.0192,209.1781,0.8975,1.52,1.656,-,0.601,0.019,0.026,0.013,0.191,0.027,0.061,-,-,5.01,92.88,42.55,31.35,80000000.00,8000000
ANLIMAYARN,Anlima Yarn Dyeing Limited,Textile,Z,326.98,-,18.3,0.55,18.3,0.243,13251.0,42.4651,-86.9565,18.935,18.926,21.109,18.5714,18.6625,18.927,-0.2644,-0.1888,19.851,18.019,30.94,-16255.3018,18.4844,18.5487,18.73,1.1681,-,0.767,-,0.528,-,-,-,-,-,-,-,-,-2.99,5.63,-,-,178678000.00,17867800
ANWARGALV,Anwar Galvanizing Limited,Engineering,A,2753.06,33.31,91.2,0.66,91.2,60.071,659344.0,53.7422,-44.7059,88.745,88.968,74.2405,90.5255,90.2135,89.3021,0.9114,0.6551,94.1325,83.3575,489.05,-279153.3856,90.82,90.641,89.9043,1.5789,-,1.374,0.077,0.968,-,0.051,0.128,0.125,0.077,0.185,-,-,-12.32,1.38,33.31,7.92,301870800.00,30187080
AOL,Associated Oxygen Limited,Fuel & Power,Z,1558.9,8.50,14.3,0.0,14.2,2.617,184699.0,46.8683,-70.0,14.375,14.264,14.5835,14.3391,14.3436,14.3327,0.0109,0.026,14.7413,14.0087,42.62,-159315.9216,14.3444,14.3615,14.3733,1.7874,0.70,-,-,-,-,-,-,-,-,-,-,-,1.59,19.33,8.50,8.93,1097820000.00,109782000
APEXFOODS,Apex Foods Limited,Food & Allied,A,1379.98,38.07,242.0,-0.82,242.0,11.007,45371.0,56.8987,-52.4017,240.73,224.678,216.924,241.4016,240.4694,235.565,4.9045,5.1654,249.5601,231.8999,216.93,-38326.3541,242.0622,241.1385,240.6681,1.0874,0.83,2.027,-,1.741,0.040,0.033,0.016,0.096,0.028,0.044,-,-,6.41,126.05,38.07,24.30,57024000.00,5702400
APEXFOOT,Apex Footwear Limited,Tannery Industries,A,3521.83,20.90,179.2,-0.55,179.2,11.829,65986.0,49.6471,-37.013,177.575,182.08,208.0895,178.3501,178.0389,179.1788,-1.1399,-2.3596,185.9159,169.2341,130.5,-69992.9212,178.9,177.8423,177.1305,0.8554,1.40,1.084,-,0.194,0.018,0.085,0.012,0.303,0.006,0.026,-,-,8.62,436.68,20.90,28.33,196530460.00,19653046
APEXSPINN,Apex Spinning & Knitting Mills Limited,Textile,A,1769.88,59.06,210.7,-0.89,210.7,54.904,261424.0,72.6007,-9.8321,186.345,167.0,132.2085,200.191,196.4694,184.5184,11.9511,9.4023,217.0804,155.6096,461.55,225751.246,203.4133,199.1962,193.1329,0.9775,0.95,1.074,-,0.894,-,-,-,-,0.007,0.024,-,-,3.6,83.11,59.06,74.86,84000000.00,8400000
APEXTANRY,Apex Tannery Limited,Tannery Industries,B,1089.66,-,71.5,4.99,71.5,7.175,101038.0,70.8798,-20.3125,60.91,58.566,66.0545,66.1271,64.7809,61.7651,3.0158,1.4788,71.8863,49.9337,81.16,95835.661,67.38,65.641,63.0443,0.904,-,0.952,-,0.208,-,0.059,-,0.125,-,-,-,-,-14.62,30.19,-,-,152400000.00,15240000
APOLOISPAT,Appollo Ispat Complex Limited,Engineering,Z,682.22,-,1.7,6.25,1.7,1.839,1141373.0,43.752,-71.4286,1.76,1.894,2.8445,1.6667,1.6929,1.8002,-0.1074,-0.1005,2.0228,1.4972,39.52,-75227.3942,1.6311,1.6526,1.7062,1.5623,-,0.749,20.371,0.727,-,-,-,-,-,-,-,-,-0.82,0.7,-,-,4013086000.00,401308600
APSCLBOND,APSCL Non-Convertible and Fully Redeemable Coupon Bearing Bond,Corporate Bond,A,475.0,-,0.0,0.0,2375.0,0.0,0.0,29.7812,-100.0,2523.75,2534.5,2672.6525,2494.5734,2514.0662,2693.1278,-179.0616,-220.5183,2642.4144,2405.0856,0.27,-4.3116,2476.1111,2487.1795,2506.6667,0.2884,0.02,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,2000000.00,200000
ARAMIT,Aramit Limited,Miscellaneous,A,1018.2,81.00,169.7,0.24,169.7,1.391,8120.0,38.9955,-73.5714,176.165,183.122,187.2465,170.2855,171.4701,176.567,-5.0969,-4.8939,194.08,158.25,47.42,-11067.3311,168.9244,169.5679,172.0905,1.1255,0.59,3.421,-,2.258,0.065,0.086,0.051,0.125,0.011,0.015,-,-,1.75,128.67,81.00,-,60000000.00,6000000
ARAMITCEM,Aramit Cement Limited,Cement,Z,294.76,-,8.9,-1.14,8.7,0.264,29896.0,43.2287,-88.8889,8.91,8.998,11.6045,8.8061,8.8374,8.9579,-0.1205,-0.1084,9.2588,8.5612,17.72,-21670.9546,8.7667,8.8038,8.8757,1.4293,-,2.410,-,2.363,-,-,-,-,-,0.766,-,-,-14.47,-18.9,-,-,338800000.00,33880000
ARGONDENIM,Argon Denims Limited,Textile,A,2513.88,10.77,18.1,0.0,18.1,14.248,790749.0,54.9018,-53.8462,17.845,17.788,17.4155,17.951,17.9226,17.8652,0.0573,0.0218,18.3859,17.3041,111.11,401285.7996,17.9422,17.9321,17.9076,1.1434,5.52,1.703,-,0.950,-,-,-,-,-,-,-,-,1.68,24.57,10.77,8.23,1388886060.00,138888606
ASIAINS,Asia Insurance PLC.,Insurance,A,1463.87,15.19,31.1,-0.64,31.1,20.473,656212.0,70.2357,-24.0741,28.07,27.354,26.953,29.3395,29.0052,28.2473,0.758,0.3806,30.651,25.489,103.06,122911.0682,29.5156,29.141,28.6062,1.486,3.22,-,-,-,-,-,-,-,-,-,-,-,2.06,29.63,15.19,16.19,470698580.00,47069858
