Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,956.75,-,3.3,6.45,3.3,9.508,2962857.0,65.0648,-25.0,3.11,3.046,2.854,3.1408,3.1293,3.0937,0.0356,0.027,3.2676,2.9524,86.71,868715.7451,3.14,3.1321,3.1233,1.2625,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.10,0.20,260,9.5080,75.00%,28.98%,46.02%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,482.0,-,24.1,-1.63,24.1,18.673,770918.0,64.9015,-25.0,21.945,20.118,19.872,23.6053,23.217,21.8641,1.3529,1.1369,25.7967,18.0933,1380.05,166588.1628,24.0489,23.7474,22.9338,0.9634,0.0,-,-,-,-,-,-,-,-,-,-,-,-,24.50,-0.40,648,18.6730,98.00%,15.83%,82.16%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.50,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1933.98,8.33,20.8,1.46,20.8,9.657,462020.0,69.0941,-20.0,19.62,17.738,17.969,20.4164,20.2005,19.2874,0.9131,0.8688,21.5291,17.7109,122.95,-84158.2391,20.6467,20.4936,20.0938,1.3672,0.0,4.81,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.50,0.30,439,9.6570,66.96%,21.13%,45.83%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.33,19.97,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1158.26,-,17.9,3.47,17.9,15.796,858473.0,76.1363,-20.0,15.675,14.03,12.681,16.796,16.4806,15.4783,1.0022,0.7812,18.0369,13.3131,98.63,54825.4679,17.1489,16.7821,16.1681,1.5475,0.0,0.56,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.30,0.60,579,15.7960,69.99%,32.64%,37.35%,30.01%,0.00%,0.00%,-,1.00,-0.12,21.73,29 Oct 2024,31 Dec 2024,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,836.82,-,3.5,9.37,3.5,49.72,14559244.0,65.5836,0.0,3.24,3.204,2.9825,3.2731,3.2613,3.2365,0.0248,0.0105,3.4042,3.0758,377.88,716214.5846,3.2711,3.2577,3.249,1.2182,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.20,0.30,751,49.7200,84.49%,10.55%,73.94%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.9,-,5.0,0.0,4.9,3.756,766338.0,53.3342,-66.6667,4.845,4.752,5.09,4.8987,4.8835,4.8305,0.053,0.0446,5.2679,4.4221,24.64,-135808.5626,4.9089,4.9128,4.9067,1.7535,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.00,193,3.7560,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2399.83,113.33,23.8,0.0,23.8,3.08,129884.0,58.3528,-52.7778,23.945,21.516,19.0055,23.8615,23.8313,23.2521,0.5792,0.7854,24.6975,23.1925,49.64,-166049.3732,23.8844,23.8679,23.9148,1.1868,0.0,4.20,2.961,-,1.970,-,-,-,-,-,-,-,-,23.80,0.00,201,3.0800,50.42%,11.59%,38.73%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,113.33,255.00,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17654.2,-,201.0,-0.59,201.0,8.478,42056.0,62.3844,-24.7059,194.23,193.432,193.2815,198.8249,197.7767,195.3581,2.4186,1.2547,203.8114,184.6486,16.13,35681.1552,200.16,198.9244,196.469,1.1403,0.0,1.24,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,202.20,-1.20,332,8.4780,52.73%,34.15%,18.58%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7148.93,19.64,151.3,-1.88,151.3,16.227,106710.0,59.8968,-42.6829,147.17,143.776,137.9295,151.337,150.3523,147.2512,3.1011,2.3979,156.525,137.815,45.3,19959.6252,152.78,151.6603,149.2743,1.2753,0.0,1.65,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,154.20,-2.90,423,16.2270,33.98%,23.59%,10.39%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,19.64,14.00,472500000.00,A-EQ,47250000
