Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1072.72,-,3.70,2.78,3.70,6.3510,"1,717,897",48.8300,-85.7143,3.9050,3.4740,2.9425,3.7971,3.8124,3.7391,0.0732,0.1413,4.2451,3.5649,381.8300,-1379209.9059,3.7733,3.8231,3.8810,1.2921,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.60,0.10,252,6.3510,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,474.00,-,23.70,-4.44,23.70,12.8360,"528,024",46.0731,-93.5484,24.4900,23.3100,20.1460,24.6456,24.6398,24.2753,0.3645,0.5234,26.0047,22.9753,1045.3200,-1115195.7152,24.6978,24.7962,24.6881,0.9708,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,24.80,-1.10,540,12.8360,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,10.25,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1887.49,8.41,20.30,-1.93,20.30,2.9110,"142,560",45.4123,-88.8889,20.8900,20.3520,17.9245,20.7534,20.7899,20.7011,0.0887,0.2106,21.4772,20.3028,85.1400,-301266.8906,20.7267,20.7885,20.8552,1.3601,0.0000,0.0000,0.0000,4.93,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.70,-0.40,240,2.9110,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.41,20.16,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1352.39,-,20.90,-4.57,20.90,7.0980,"335,778",55.0241,-64.0000,20.8150,18.0220,13.5290,21.8713,21.6586,20.3525,1.3060,1.4535,24.6315,16.9985,138.9800,-6281.7532,22.1956,22.2103,21.6895,1.5134,0.0000,0.0000,0.0000,0.48,1.988,-,1.236,-,-,-,0.200,-,-,-,-,21.90,-1.00,417,7.0980,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,884.63,-,3.70,0.00,3.70,8.4900,"2,256,262",44.6064,-100.0000,3.9900,3.6140,3.0820,3.8707,3.8909,3.8436,0.0473,0.1140,4.3202,3.6598,665.4400,-5478038.9802,3.8444,3.8949,3.9519,1.2457,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.70,0.00,279,8.4900,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4299.33,-,4.80,0.00,4.80,2.1230,"441,853",40.3885,-100.0000,4.9550,4.8880,4.9905,4.8883,4.9020,4.9159,-0.0140,0.0094,5.1324,4.7776,18.5900,-466870.9901,4.8822,4.8910,4.9243,1.7296,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.80,0.00,105,2.1230,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2288.92,106.19,23.10,1.79,22.70,1.2230,"53,717",40.9555,-73.5294,23.4950,23.7300,19.6785,23.1713,23.2804,23.4305,-0.1501,0.0190,24.7028,22.2872,28.1600,-90000.2580,23.1000,23.2500,23.4390,1.2001,0.0000,0.0000,0.0000,4.41,2.961,-,1.970,-,-,-,-,-,-,-,-,22.30,0.40,59,1.2230,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,106.19,238.93,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17215.04,-,196.00,0.00,196.00,2.9900,"15,234",39.9727,-97.3451,200.5100,198.4640,196.2515,198.4285,198.9903,199.7396,-0.7493,0.1317,205.8490,195.1710,19.7700,-69909.2972,197.8489,198.6397,199.6224,1.1402,0.0000,0.0000,0.0000,1.28,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,196.00,0.00,244,2.9900,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7919.10,21.69,167.60,-1.59,167.60,51.3990,"303,118",47.6834,-91.0112,173.6200,160.9540,142.1160,172.5084,172.5970,169.8927,2.7042,4.1713,181.4181,165.8219,325.4200,-345489.8196,172.6489,172.9769,173.1576,1.2905,0.0000,0.0000,0.0000,1.49,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,170.30,-2.70,"1,322",51.3990,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,21.69,15.46,472500000.00,A-EQ,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,17033.94,7.15,80.50,-1.95,80.50,39.0280,"478,377",34.8048,-88.0000,82.9450,82.6540,76.8830,82.3748,82.5656,82.8128,-0.2473,0.0554,84.5456,81.3444,40.8600,-373893.3431,82.3156,82.4551,82.7105,1.2057,0.0000,0.0000,0.0000,4.35,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,82.10,-1.60,"1,058",39.0280,59.61%,30.50%,29.09%,40.39%,0.00%,0.02%,-,35.00,11.48,126.37,28 Oct 2025,22 Dec 2025,7.15,6.55,2116017000.00,A-EQ,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,3186.00,-,23.60,-2.48,23.60,57.1180,"2,372,846",46.8497,-82.0513,23.9950,23.7120,19.7735,24.4919,24.4454,24.1140,0.3314,0.3852,26.9009,21.0891,851.9500,-2652461.0174,24.5800,24.7269,24.4967,1.4244,0.0000,0.0000,0.0000,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,24.20,-0.60,"1,338",57.1180,68.20%,18.80%,49.40%,31.80%,0.00%,0.00%,-,0.01,-1.14,16.41,02 Nov 2025,29 Dec 2025,-,-,1350000000.00,B-EQ,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1607.58,61.82,6.70,-1.47,6.70,3.4960,"517,471",43.6421,-100.0000,6.8250,6.9340,6.5665,6.8148,6.8244,6.8520,-0.0276,-0.0194,7.0390,6.6110,52.8800,-487221.7286,6.8044,6.8231,6.8381,1.3364,0.0000,0.0000,0.0000,0.37,-,-,-,-,-,-,-,-,-,-,-,6.80,-0.10,205,3.4960,87.96%,21.05%,66.64%,12.04%,0.00%,0.27%,-,0.25,0.11,22.07,30 Oct 2022,29 Dec 2022,61.82,42.50,2399365800.00,Z-EQ,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,4137.71,25.14,64.00,-0.16,64.00,12.6940,"196,902",35.1666,-80.6452,66.9100,67.5640,61.7505,65.8138,66.1445,66.8394,-0.6949,-0.2957,69.4555,64.3645,85.6000,-200849.3207,65.6067,65.9205,66.4390,1.2643,0.0000,0.0000,0.0000,1.56,1.943,-,1.935,0.122,0.152,0.091,0.354,0.049,0.077,-,-,64.10,-0.10,493,12.6940,59.24%,17.51%,40.21%,40.76%,0.00%,1.52%,-,10.00,2.55,32.82,28 Oct 2025,15 Dec 2025,25.14,25.85,646516660.00,A-EQ,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1434.24,21.53,15.40,-0.65,15.40,2.6910,"173,772",40.7512,-94.4444,15.8950,15.7680,14.2510,15.8243,15.8645,15.8430,0.0215,0.1200,16.6803,15.1097,108.9900,-429500.0324,15.8044,15.9077,15.9419,1.4714,0.0000,0.0000,0.0000,0.32,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,15.50,-0.10,130,2.6910,69.98%,12.79%,56.19%,30.02%,0.00%,1.00%,-,0.50,0.72,16.43,27 Oct 2025,31 Dec 2025,21.53,35.23,931327320.00,Z-EQ,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,818.04,32.73,7.10,-1.39,7.10,0.4030,"56,304",45.4081,-80.0000,7.1800,7.4960,6.4590,7.1681,7.1797,7.2559,-0.0762,-0.0865,7.4363,6.9237,31.9900,-122967.1214,7.1600,7.1667,7.1776,1.6488,0.0000,0.0000,0.0000,0.70,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,7.20,-0.10,62,0.4030,72.16%,34.11%,38.05%,27.84%,0.00%,0.00%,-,0.50,0.22,18.19,30 Oct 2022,29 Dec 2022,32.73,31.76,1152162000.00,Z-EQ,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,Z,2986.92,-,28.30,-2.75,28.30,6.2830,"219,496",26.3951,-93.9394,30.3500,30.9580,31.2995,29.7007,29.8903,30.3214,-0.4311,-0.2177,31.7242,28.9758,39.7400,-276874.1963,29.6044,29.7859,30.0767,1.3128,0.0000,0.0000,0.0000,3.53,1.931,2.289,1.802,-,-,-,0.254,-,-,-,-,29.10,-0.80,432,6.2830,70.68%,32.54%,38.14%,29.32%,0.00%,0.00%,-,10.00,-1.37,47.57,28 Oct 2025,29 Dec 2025,-,-,1055449950.00,Z-EQ,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,2205.71,38.77,30.40,-3.18,30.40,26.1100,"843,025",40.2874,-95.7447,32.5650,31.4700,24.5980,31.8128,31.9668,32.0128,-0.0459,0.2706,34.5547,30.5753,658.4000,-951103.2867,31.6800,31.8500,32.1629,1.2421,0.0000,0.0000,0.0000,0.82,3.518,-,3.484,0.174,0.181,0.082,0.383,0.039,0.048,-,-,31.40,-1.00,921,26.1100,69.97%,14.59%,55.38%,30.03%,0.00%,0.00%,-,2.50,0.81,16.95,28 Oct 2025,29 Dec 2025,38.77,28.72,725561920.00,B-EQ,72556192
AGRANINS,Agrani Insurance PLC.,Insurance,A,1102.17,173.89,30.60,-2.24,30.60,9.9870,"320,363",50.7407,-76.3158,30.7000,29.0640,24.3260,31.4415,31.3309,30.5322,0.7988,0.9319,33.4992,27.9008,341.1000,-239655.6979,31.6422,31.6513,31.3129,1.4382,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,31.30,-0.70,529,9.9870,72.25%,17.03%,55.22%,27.75%,0.00%,0.00%,-,-,0.18,19.42,16 Mar 2026,14 May 2026,173.89,31.30,360186980.00,A-EQ,36018698
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,Mutual Funds,A,560.00,118.00,5.60,-5.08,5.60,8.0710,"1,382,195",40.4744,-92.8571,6.4550,5.3960,4.1250,6.1489,6.2021,6.0734,0.1287,0.3061,7.0824,5.8276,1234.6100,-1708845.2755,6.1089,6.2013,6.3338,0.8193,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,5.90,-0.30,252,8.0710,90.00%,40.05%,49.95%,10.00%,0.00%,0.00%,-,0.60,0.05,10.27,16 May 2023,-,118.00,67.05,1000000000.00,A-MF,100000000
AIBLPBOND,AIBL Mudaraba Perpetual Bond,Corporate Bond,A,395.00,-,0.00,0.00,3950.00,0.0000,0,50.7085,-57.9767,3941.4250,3945.9800,3708.6425,3947.2044,3937.2209,3935.5452,1.6757,-19.4604,4101.4879,3781.3621,0.4800,-0.1626,3962.8222,3959.8590,3950.3929,0.0418,0.0000,0.0000,0.0000,0.03,-,-,-,-,-,-,-,-,-,-,-,3950.00,0.00,0,0.0000,100.00%,87.13%,12.17%,0.00%,0.00%,0.70%,-,-,0.00,0.00,-,-,-,-,1000000.00,A-CB,100000
